"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T1-9",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",59,1
"Baillargeon","burned","a","15B1-T1-9",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",82,1
"Baillargeon","burned","a","15B1-T3-1",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",43,1
"Baillargeon","burned","a","15B1-T3-10",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T3-11",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",68,1
"Baillargeon","burned","a","15B1-T3-11",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",59,1
"Baillargeon","burned","a","15B1-T3-12",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",70,1
"Baillargeon","burned","a","15B1-T3-13",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",75,1
"Baillargeon","burned","a","15B1-T3-13",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",148,1
"Baillargeon","burned","a","15B1-T3-14",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T3-14",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",156,1
"Baillargeon","burned","a","15B1-T3-15",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",54,1
"Baillargeon","burned","a","15B1-T3-16",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T3-17",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",48,1
